1,ACCESS CONTROL,AC-1,"ACCESS CONTROL POLICY AND PROCEDURES",P1,1,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,0
2,ACCESS CONTROL,AC-2,"ACCOUNT MANAGEMENT",P1,1,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,0
3,ACCESS CONTROL,AC-2 (1),"AUTOMATED SYSTEM ACCOUNT MANAGEMENT",,0,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
4,ACCESS CONTROL,AC-2 (2),"REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS",,0,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
5,ACCESS CONTROL,AC-2 (3),"DISABLE INACTIVE ACCOUNTS",,0,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
6,ACCESS CONTROL,AC-2 (4),"AUTOMATED AUDIT ACTIONS",,0,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
7,ACCESS CONTROL,AC-2 (5),"INACTIVITY LOGOUT",,0,0,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
8,ACCESS CONTROL,AC-2 (6),"DYNAMIC PRIVILEGE MANAGEMENT",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
9,ACCESS CONTROL,AC-2 (7),"ROLE-BASED SCHEMES",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
10,ACCESS CONTROL,AC-2 (8),"DYNAMIC ACCOUNT CREATION",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
11,ACCESS CONTROL,AC-2 (9),"RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
12,ACCESS CONTROL,AC-2 (10),"SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
13,ACCESS CONTROL,AC-2 (11),"USAGE CONDITIONS",,0,0,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
14,ACCESS CONTROL,AC-2 (12),"ACCOUNT MONITORING / ATYPICAL USAGE",,0,0,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
15,ACCESS CONTROL,AC-2 (13),"DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS",,0,0,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
16,ACCESS CONTROL,AC-3,"ACCESS ENFORCEMENT",P1,1,1,1,0,2015-03-27 17:25:55,2015-03-27 17:25:55,0
17,ACCESS CONTROL,AC-3 (1),"RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS",,0,0,0,1,2015-03-27 17:25:55,2015-03-27 17:25:55,1
18,ACCESS CONTROL,AC-3 (2),"DUAL AUTHORIZATION",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
19,ACCESS CONTROL,AC-3 (3),"MANDATORY ACCESS CONTROL",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
20,ACCESS CONTROL,AC-3 (4),"DISCRETIONARY ACCESS CONTROL",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
21,ACCESS CONTROL,AC-3 (5),"SECURITY-RELEVANT INFORMATION",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
22,ACCESS CONTROL,AC-3 (6),"PROTECTION OF USER AND SYSTEM INFORMATION",,0,0,0,1,2015-03-27 17:25:55,2015-03-27 17:25:55,1
23,ACCESS CONTROL,AC-3 (7),"ROLE-BASED ACCESS CONTROL",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
24,ACCESS CONTROL,AC-3 (8),"REVOCATION OF ACCESS AUTHORIZATIONS",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
25,ACCESS CONTROL,AC-3 (9),"CONTROLLED RELEASE",,0,0,0,0,2015-03-27 17:25:55,2015-03-27 17:25:55,1
